Price_x,Open_x,High_x,Low_x,Vol._x,Change %_x,dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Price_y,Open_y,High_y,Low_y,Vol._y,Change %_y,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv,Sell_Price
41536.8,41023.1,42571.2,40815.0,48210.0,1.25,,,,,,,,,,,,,,,,,,,
43823.3,41534.5,44101.2,41416.7,64319.99999999999,5.5,,,,,,,,,,,,,,,,,,,
48146.0,43824.4,48435.2,43292.9,94660.0,9.86,2021-10-01,14.628606379032137,97.0,12.712908570000002,432.0,105.0,48146.0,43824.4,48435.2,43292.9,94660.0,9.86,48941.92,51736.16,56097.78500000001,64088.0,74551.0,74632.0,
47666.9,48147.2,48306.9,47451.7,39820.0,-1.0,,,,,,,,,,,,,,,,,,,
48200.1,47665.4,49165.2,47123.0,42410.0,1.12,,,,,,,,,,,,,,,,,,,
49227.3,48200.4,49481.7,46958.6,66920.0,2.13,,,,,,,,,,,,,,,,,,,
51469.3,49229.5,51872.4,49060.1,76630.0,4.55,,,,,,,,,,,,,,,,,,,
55323.2,51470.0,55676.1,50439.5,116260.0,7.49,2021-10-06,74.43386882543564,145.0,89.24670446999876,802.0,183.0,55323.2,51470.0,55676.1,50439.5,116260.0,7.49,54530.4,56254.36,59269.630000000005,85014.0,82870.0,74202.5,55323.2
53783.9,55325.2,55325.6,53476.4,75680.0,-2.78,,,,,,,,,,,,,,,,,,,
53914.7,53785.5,55977.9,53659.3,64050.0,0.24,,,,,,,,,,,,,,,,,,,
54942.5,53924.1,55430.8,53711.7,64650.00000000001,1.91,,,,,,,,,,,,,,,,,,,
54687.7,54942.5,56432.2,54100.8,104430.0,-0.46,2021-10-10,56.28107696771622,111.0,0.0,286.0,49.0,54687.7,54942.5,56432.2,54100.8,104430.0,-0.46,56581.36,59330.27,60450.125,77316.0,77169.0,73025.5,
57477.3,54686.9,57814.1,54457.8,73840.0,5.1,,,,,,,,,,,,,,,,,,,
56015.9,57480.6,57635.7,54155.4,74850.0,-2.54,,,,,,,,,,,,,,,,,,,
57380.1,56014.5,57697.4,54314.4,73620.0,2.44,,,,,,,,,,,,,,,,,,,
57345.8,57370.4,58506.5,56866.8,59840.0,-0.06,,,,,,,,,,,,,,,,,,,
61672.5,57348.2,62892.8,56874.8,121480.0,7.54,,,,,,,,,,,,,,,,,,,61672.5
60861.1,61669.2,62329.2,60161.9,49930.0,-1.32,,,,,,,,,,,,,,,,,,,
61527.5,60865.5,61651.4,59143.4,53390.0,1.09,,,,,,,,,,,,,,,,,,,
62056.3,61525.8,62623.6,60026.9,80150.0,0.86,,,,,,,,,,,,,,,,,,,
64278.5,62030.2,64454.0,61451.0,80160.0,3.58,,,,,,,,,,,,,,,,,,,
65979.1,64276.9,66967.1,63543.7,79870.0,2.65,,,,,,,,,,,,,,,,,,,
62210.2,66004.6,66616.9,62092.1,105380.0,-5.71,,,,,,,,,,,,,,,,,,,
60690.3,62200.8,63699.7,60055.7,75690.0,-2.44,,,,,,,,,,,,,,,,,,,
61312.5,60693.2,61728.7,59738.3,37050.0,1.03,,,,,,,,,,,,,,,,,,,
60866.5,61308.2,61469.9,59523.7,42670.0,-0.73,,,,,,,,,,,,,,,,,,,
63067.0,60864.3,63694.8,60655.8,51060.0,3.62,,,,,,,,,,,,,,,,,,,
60310.8,63067.5,63275.1,59907.3,57130.0,-4.37,,,,,,,,,,,,,,,,,,,
