dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Date,Price,Open,High,Low,Vol.,Change %,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv
2022-03-10,275.83346688747406,273.0,38.71189011,427.0,105.0,2022-03-10,39416.3,41933.9,42029.1,38603.5,3620000000.0,-5.99,38884.86,39974.43,42081.615,2280000000.0,2255459000.0,1345030500.0
2022-03-11,180.69617837667465,175.0,18.9726478,1646.0,631.0,2022-03-11,38730.2,39422.5,40177.0,38236.4,2790000000.0,-1.74,38858.740000000005,40160.4,42464.55,2006000000.0,1924304000.0,1187418500.0
2022-03-12,116.85830920934676,199.0,12.56535256,319.0,68.0,2022-03-12,38814.3,38730.2,39355.3,38666.5,1110000000.0,0.22,39336.439999999995,40389.58,42804.28999999999,2342000000.0,1685966000.0,1073918500.0
2022-03-13,68.11622434854507,154.0,6.27718189,321.0,55.0,2022-03-13,37792.4,38813.2,39272.3,37603.4,1550000000.0,-2.63,39756.54,40745.45,43178.425,2500000000.0,1628672000.0,1050065000.0
2022-03-14,16.778792142868042,88.0,19.426904629999417,348.0,90.0,2022-03-14,39671.1,37789.5,39914.3,37613.6,2330000000.0,4.97,40551.619999999995,41257.409999999996,43579.354999999996,2652000000.0,1517068000.0,989861500.0
2022-03-15,112.0669805407524,163.0,12.66061231,314.0,86.0,2022-03-15,39285.7,39673.0,39854.7,38220.9,2250000000.0,-0.97,41064.0,41691.6,43916.15,2230918000.0,1333234000.0,893304500.0
2022-03-16,140.36807149648666,230.0,12.63650612,460.0,107.0,2022-03-16,41118.7,39282.5,41701.6,38953.2,4470000000.0,4.67,41462.06,42196.13,44283.314999999995,1842608000.0,1157643000.0,803110500.0
2022-03-17,229.52259200811383,289.0,8.514451160000654,511.0,129.0,2022-03-17,40914.8,41118.7,41406.0,40557.8,1900000000.0,-0.5,41442.72,42539.06,44502.68,1029932000.0,730273000.0,600666000.0
2022-03-18,189.03653860092163,247.0,19.56674628,271.0,61.0,2022-03-18,41767.8,40914.6,42308.4,40234.8,2310000000.0,2.08,41734.36,43133.479999999996,44615.59,757344000.0,579152000.0,538142000.0
2022-03-19,91.00124406814577,149.0,6.3052128399991485,268.0,98.0,2022-03-19,42233.0,41768.0,42386.0,41529.6,224590000.0,1.11,41963.2,43667.2,44699.6,382136000.0,409179000.0,442184500.0
2022-03-20,164.66645973920822,326.0,44.833503950000086,274.0,96.0,2022-03-20,41276.0,42241.0,42301.0,40922.0,308450000.0,-2.27,42319.2,44188.8,44701.7,435550000.0,434602000.0,454346500.0
2022-03-21,99.28091084957124,153.0,25.131285330000683,367.0,92.0,2022-03-21,41022.0,41282.0,41532.0,40530.0,406620000.0,-0.62,42930.2,44768.7,44776.25,472678000.0,450533000.0,447182000.0
2022-03-22,52.87507200241089,113.0,25.21136268,464.0,108.0,2022-03-22,42373.0,41022.0,43327.9,40893.0,537060000.0,3.29,43635.4,45219.0,44832.05,430614000.0,461871000.0,439642500.0
2022-03-23,106.10715407133102,193.0,12.52702425,618.0,154.0,2022-03-23,42912.0,42373.0,43027.0,41795.0,433960000.0,1.27,44532.6,45611.4,44688.25,400960000.0,471458000.0,443208500.0
2022-03-24,89.9884073138237,169.0,32.75002448000184,397.0,115.0,2022-03-24,44013.0,42911.0,44251.0,42658.0,491660000.0,2.57,45371.2,45901.3,44546.55,436222000.0,462655000.0,444924000.0
2022-03-25,132.18825316429138,206.0,13.20206405,572.0,204.0,2022-03-25,44331.0,44013.0,45112.0,43622.0,494090000.0,0.72,46058.4,46140.7,44402.55,433654000.0,453375000.0,440676000.0
2022-03-26,113.38416838645936,179.0,6.31700063,414.0,139.0,2022-03-26,44548.0,44331.0,44818.0,44090.0,196300000.0,0.49,46607.2,46370.5,44182.8,428388000.0,448578000.0,430686000.0
2022-03-27,88.32101482152939,120.0,38.48707092,363.0,109.0,2022-03-27,46859.0,44542.0,46947.0,44445.0,388790000.0,5.19,46802.6,46466.3,43983.4,493128000.0,471059000.0,432525500.0
2022-03-28,102.96328336000444,247.0,21.90735297,493.0,170.0,2022-03-28,47105.0,46859.0,48199.0,46672.0,610270000.0,0.52,46690.2,46097.7,43659.55,541956000.0,497132000.0,420651500.0
2022-03-29,114.6730419397354,167.0,22.21715772,506.0,156.0,2022-03-29,47449.0,47126.0,48127.0,47029.0,478820000.0,0.73,46431.4,45732.0,43289.45,489088000.0,475190000.0,400638500.0
2022-03-30,74.92106974124908,202.0,26.64656990000029,534.0,146.0,2022-03-30,47075.0,47449.0,47714.0,46601.0,467760000.0,-0.79,46223.0,45214.6,42957.15,473096000.0,474091000.0,400910500.0
2022-03-31,98.76237851381302,168.0,6.79091809,553.0,138.0,2022-03-31,45525.0,47071.0,47624.0,45228.0,520000000.0,-3.29,46133.8,44783.8,42678.55,468768000.0,443831000.0,390936500.0
2022-04-01,43.0991895198822,112.0,38.837665159999545,705.0,194.0,2022-04-01,46297.0,45529.0,46728.0,44261.0,632930000.0,1.7,46130.0,44445.1,42470.7,448990000.0,417414000.0,384078500.0
2022-04-02,110.39070814847946,143.0,6.052018640000007,324.0,105.0,2022-04-02,45811.0,46299.0,47212.0,45641.0,345930000.0,-1.05,45505.2,43765.1,42179.95,452308000.0,414959000.0,377084500.0
2022-04-03,82.530253469944,187.0,114.79897398,503.0,123.0,2022-04-03,46407.0,45813.0,47435.0,45554.0,398860000.0,1.3,45032.6,43191.8,41874.85,461292000.0,427193000.0,380853000.0
2022-04-04,54.3384183049202,150.0,12.62379652,360.0,57.0,2022-04-04,46629.0,46407.0,46899.0,45152.0,446120000.0,0.48,44206.2,42664.4,41525.4,475086000.0,427977000.0,370440000.0
2022-04-05,130.69781267642975,195.0,12.7177334,586.0,134.0,2022-04-05,45506.0,46614.0,47201.0,45388.0,421110000.0,-2.41,43433.8,41995.1,41167.15,418894000.0,412794000.0,362315500.0
2022-04-06,232.4333012700081,281.0,25.06476789,573.0,165.0,2022-04-06,43173.0,45494.0,45519.0,43122.0,649520000.0,-5.13,42760.2,41500.5,40913.2,385838000.0,393992000.0,373990000.0
2022-04-07,74.12029188871384,248.0,31.711885530001155,503.0,129.0,2022-04-07,43448.0,43166.0,43893.0,42747.0,390850000.0,0.64,42025.0,41221.4,40660.2,377610000.0,344171000.0,375587500.0
2022-04-08,124.05031210184096,228.0,18.98292452,428.0,127.0,2022-04-08,42275.0,43450.0,43979.0,42113.0,467830000.0,-2.7,41351.0,40846.9,40449.95,393094000.0,326087000.0,377386500.0
2022-04-09,88.0286118388176,174.0,12.64172257,443.0,149.0,2022-04-09,42767.0,42275.0,42809.0,42129.0,165160000.0,1.16,41122.6,40699.7,40323.6,380868000.0,327730000.0,381114500.0
2022-04-10,125.92380964756012,296.0,44.02512344,360.0,93.0,2022-04-10,42138.0,42760.0,43421.0,41884.0,255830000.0,-1.47,40556.4,40573.3,40114.3,406694000.0,338042000.0,392001500.0
2022-04-11,114.90383833646774,323.0,45.56493813999943,362.0,88.0,2022-04-11,39497.0,42144.0,42418.0,39202.0,608380000.0,-6.27,40240.8,40496.3,39889.9,402146000.0,350743000.0,391621000.0
2022-04-12,103.705011844635,332.0,21.023838249999606,564.0,189.0,2022-04-12,40078.0,39507.0,40678.0,39265.0,468270000.0,1.47,40417.8,40594.8,39838.1,310732000.0,339210000.0,375051500.0
